Image,Variance,BRISQUE,PSNR,SSIM
img0,0.0,26.0155029296875,inf,1.0
img0,0.01,43.245330810546875,21.91037772511598,0.7569491764067721
img0,0.05,73.145263671875,16.170335085290127,0.4825714050132183
img0,0.1,47.99928283691406,13.92604052343679,0.37119559957835085
img0,0.5,91.17390441894531,10.742195528665404,0.1560058800702852
img1,0.0,53.885101318359375,inf,1.0
img1,0.01,44.776458740234375,21.904387213522206,0.88771046594273
img1,0.05,77.46365356445312,16.109366525551383,0.691333636773615
img1,0.1,68.22921752929688,13.793533311529874,0.5420244001641806
img1,0.5,86.77006530761719,10.57589760270834,0.2506773727011826
